region,zone,dealer,source,type,model,grade,color,booking_date,invoice_date,delivery_date,payment_type, sales amount 
Region 6,Zone 11,14123,Chat,Passenger,SL-Class,BAB,BLACK,13/11/2021,18/12/2021,20/12/2021,Cash,"4,100,000.00"
Region 3,Zone 06,10126,Chat,Passenger,SL-Class,BAD,WHITE,13/11/2021,9/12/2021,19/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11108,Chat,Passenger,SL-Class,BAC,WHITE,22/12/2021,17/1/2022,17/1/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10129,Chat,Car,CL500,HAC,RED-BLACK,22/11/2021,17/12/2021,17/12/2021,Cash,"5,000,000.00"
Region 1,Zone 02,16145,Chat,Car,CL500,HAC,BLACK,10/12/2021,24/12/2021,24/12/2021,Installment,"5,000,000.00"
Region 1,Zone 02,10131,Chat,Passenger,SE-Class,BAD,WHITE,7/12/2021,17/12/2021,20/12/2021,Cash,"2,500,000.00"
Region 1,Zone 01,10139,Chat,Passenger,SL-Class,BAA,BLACK,5/11/2021,22/12/2021,22/12/2021,Cash,"4,100,000.00"
Region 1,Zone 02,10125,Chat,Passenger,SL-Class,BAC,GREY,12/12/2021,30/12/2021,22/1/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10146,Chat,Passenger,SL-Class,BAC,GREY,8/11/2021,30/11/2021,9/12/2021,Installment,"4,100,000.00"
Region 3,Zone 06,10115,Website,Car,CL500,HAB,WHITE,8/12/2021,5/1/2022,15/1/2022,Installment,"5,000,000.00"
Region 1,Zone 02,10116,Chat,Car,CL500,HAA,GREY,4/12/2021,23/12/2021,23/12/2021,Installment,"5,000,000.00"
Region 1,Zone 02,16145,Chat,Passenger,SL-Class,BAB,WHITE,22/3/2022,26/3/2022,26/3/2022,Cash,"4,100,000.00"
Region 2,Zone 04,10108,Chat,Passenger,SL-Class,BAB,WHITE,20/11/2021,26/1/2022,26/1/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10158,Line,Car,CLK Coupe,TAC,GREY,11/12/2021,6/4/2022,19/4/2022,Installment,"5,500,000.00"
Region 1,Zone 02,10118,Chat,Car,CL500,HAB,GREY,25/11/2021,29/12/2021,4/1/2022,Cash,"5,000,000.00"
Region 1,Zone 01,10133,Chat,Passenger,SL-Class,BAD,WHITE,27/1/2022,,,Installment,
Region 2,Zone 03,10121,Chat,Passenger,SL-Class,BAA,WHITE,2/12/2021,,,Cash,
Region 2,Zone 04,14128,Chat,Passenger,SL-Class,BAB,WHITE,23/12/2021,19/2/2022,23/2/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13105,Chat,Passenger,SL-Class,BAB,GREY,27/11/2021,22/3/2022,22/3/2022,Installment,"4,100,000.00"
Region 5,Zone 10,12136,Chat,Car,M-Class,BAC,GREY,6/11/2021,16/11/2021,19/11/2021,Cash,"7,500,000.00"
Region 5,Zone 09,12106,Chat,Passenger,SL-Class,BAC,WHITE,28/1/2022,7/3/2022,7/3/2022,Installment,"4,100,000.00"
Region 6,Zone 12,13109,Chat,Passenger,SL-Class,BAB,GREY,14/1/2022,22/2/2022,23/2/2022,Installment,"4,100,000.00"
Region 2,Zone 03,20107,Website,Passenger,SL-Class,BAD,WHITE,6/11/2021,3/12/2021,3/12/2021,Installment,"4,100,000.00"
Region 1,Zone 01,10133,Chat,Passenger,SL-Class,BAA,BLUE,10/11/2021,20/11/2021,20/11/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14123,Website,Car,M-Class,BAD,SILVER,10/12/2021,10/12/2021,10/12/2021,Installment,"7,500,000.00"
Region 2,Zone 03,10,Chat,Passenger,E-Class,HAA,BLACK,5/2/2022,,,Installment,
Region 2,Zone 03,10,Chat,Passenger,E-Class,HAA,BLACK,5/2/2022,,,Installment,
Region 4,Zone 08,16118,Website,Passenger,SL-Class,BAA,WHITE,4/11/2021,13/11/2021,15/11/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16111,Website,Passenger,SL-Class,BAA,WHITE,4/11/2021,13/11/2021,15/11/2021,Cash,"4,100,000.00"
Region 5,Zone 09,12125,Website,Passenger,SL-Class,BAC,WHITE,8/12/2021,,,Cash,
Region 5,Zone 10,12131,Chat,Car,CLK Coupe,TAC,BLACK,5/11/2021,13/11/2021,13/11/2021,Cash,"5,500,000.00"
Region 6,Zone 11,14101,Chat,Passenger,SL-Class,BAC,WHITE,14/12/2021,10/2/2022,11/2/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10137,Website,Passenger,SL-Class,BAB,WHITE,3/11/2021,10/11/2021,12/11/2021,Cash,"4,100,000.00"
Region 4,Zone 08,16126,Line,Passenger,SL-Class,BAB,WHITE,11/2/2022,12/5/2022,12/5/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10137,Chat,Passenger,E-Class,HAA,WHITE,25/11/2021,18/12/2021,18/12/2021,Cash,"4,500,000.00"
Region 1,Zone 01,16144,Chat,Passenger,C-Class,TAA,WHITE,25/12/2021,13/1/2022,13/1/2022,Cash,"6,000,000.00"
Region 3,Zone 05,10156,Chat,Car,CLK Coupe,TAB,BLACK,7/11/2021,20/11/2021,20/11/2021,Cash,"5,500,000.00"
Region 3,Zone 06,10143,Chat,Passenger,E-Class,HAB,BLACK,16/9/2022,24/9/2022,24/9/2022,Cash,"4,500,000.00"
Region 6,Zone 12,13142,Website,Car,CLK Coupe,HAB,BLACK,19/8/2022,31/10/2022,31/10/2022,Cash,"5,500,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAB,WHITE,26/4/2022,6/5/2022,6/5/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16110,Chat,Passenger,SL-Class,BAA,WHITE,28/3/2022,17/6/2022,17/6/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16110,Chat,Passenger,SL-Class,BAA,WHITE,28/3/2022,17/6/2022,17/6/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10165,Chat,Car,CLK Coupe,TAC,WHITE,5/11/2021,29/11/2021,30/11/2021,Installment,"5,500,000.00"
Region 2,Zone 04,10165,Website,Car,CLK Coupe,TAA,GREY,15/11/2021,30/11/2021,7/12/2021,Installment,"5,500,000.00"
Region 6,Zone 11,14117,Chat,Car,CLK Coupe,TAB,WHITE,20/11/2021,23/12/2021,23/12/2021,Installment,"5,500,000.00"
Region 3,Zone 05,10114,Chat,Car,CLK Coupe,TAC,GREY,18/12/2021,,,Cash,
Region 6,Zone 13,13116,Chat,Passenger,SL-Class,BAC,WHITE,23/2/2022,26/7/2022,2/8/2022,Cash,"4,100,000.00"
Region 2,Zone 04,10162,Chat,Passenger,SL-Class,BAC,BLACK,15/9/2022,24/9/2022,24/9/2022,Cash,"4,100,000.00"
Region 5,Zone 10,12131,Chat,Passenger,SL-Class,BAC,BLACK,10/11/2021,16/11/2021,30/11/2021,Installment,"4,100,000.00"
Region 3,Zone 06,10132,Chat,Car,CLK Coupe,TAC,BLACK,24/1/2022,27/4/2022,28/4/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11110,Line,Passenger,SL-Class,BAC,WHITE,4/11/2021,5/11/2021,27/11/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14102,Chat,Passenger,C-Class,TAA,WHITE,1/12/2021,17/12/2021,18/12/2021,Cash,"6,000,000.00"
Region 3,Zone 06,10149,Chat,Car,CLK Coupe,TAB,BLACK,7/11/2021,20/11/2021,20/11/2021,Installment,"5,500,000.00"
Region 5,Zone 10,12131,Chat,Passenger,SL-Class,BAC,WHITE,30/11/2021,25/12/2021,25/12/2021,Cash,"4,100,000.00"
Region 3,Zone 05,10114,Chat,Passenger,C-Class,TAA,WHITE,13/12/2021,23/12/2021,23/12/2021,Cash,"6,000,000.00"
Region 2,Zone 04,14111,Chat,Car,CL500,HAC,GREY,23/9/2022,,,Cash,
Region 3,Zone 05,16117,Website,Passenger,SL-Class,BAB,GREY,12/11/2021,23/11/2021,23/11/2021,Installment,"4,100,000.00"
Region 3,Zone 05,10146,Chat,Passenger,SE-Class,BAD,WHITE,20/12/2021,30/12/2021,30/12/2021,Installment,"2,500,000.00"
Region 4,Zone 08,16109,Website,Car,CL500,HAC,GREY,13/12/2021,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 2,Zone 03,10122,Website,Car,M-Class,BAC,WHITE,12/11/2021,20/11/2021,22/11/2021,Cash,"7,500,000.00"
Region 1,Zone 01,10110,Chat,Car,CL500,HAB,GREY,7/12/2021,20/6/2022,25/6/2022,Cash,"5,000,000.00"
Region 4,Zone 08,16101,Chat,Car,CL500,HAC,GREY,13/12/2021,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 6,Zone 11,14123,Website,Passenger,SL-Class,BAC,WHITE,25/11/2021,11/12/2021,11/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11130,Chat,Passenger,C-Class,TAA,WHITE,17/12/2021,12/1/2022,12/1/2022,Cash,"6,000,000.00"
Region 2,Zone 04,14111,Chat,Passenger,SL-Class,BAA,GREY,7/12/2021,19/2/2022,19/2/2022,Installment,"4,100,000.00"
Region 3,Zone 05,20104,Chat,Passenger,SL-Class,BAB,SILVER,12/11/2021,21/11/2021,21/11/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16110,Chat,Passenger,SL-Class,BAC,GREY,30/3/2022,6/6/2022,6/6/2022,Cash,"4,100,000.00"
Region 2,Zone 03,10,Chat,Passenger,SL-Class,BAB,WHITE,9/11/2021,,,Cash,
Region 2,Zone 04,14130,Chat,Passenger,SL-Class,BAD,WHITE,18/2/2022,25/3/2022,27/3/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10137,Website,Car,CLK Coupe,HAA,WHITE,19/6/2022,31/10/2022,31/10/2022,Cash,"5,500,000.00"
Region 3,Zone 06,14121,Chat,Passenger,SL-Class,BAB,GREY,22/11/2021,27/12/2021,2/2/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11132,Chat,Passenger,SL-Class,BAB,WHITE,5/4/2022,29/7/2022,29/7/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13112,Chat,Car,CLK Coupe,TAA,WHITE,20/12/2021,28/12/2021,11/1/2022,Cash,"5,500,000.00"
Region 4,Zone 08,16110,Chat,Car,CLK Coupe,TAA,WHITE,8/1/2022,11/2/2022,11/2/2022,Cash,"5,500,000.00"
Region 6,Zone 13,13123,Chat,Passenger,SL-Class,BAB,WHITE,8/11/2021,21/12/2021,21/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11131,Line,Passenger,SL-Class,BAC,SILVER,17/2/2022,19/4/2022,19/4/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13123,Chat,Passenger,SL-Class,BAB,WHITE,8/11/2021,21/12/2021,21/12/2021,Cash,"4,100,000.00"
Region 4,Zone 07,11113,Chat,Passenger,SL-Class,BAC,SILVER,17/2/2022,19/4/2022,19/4/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11138,Chat,Passenger,SL-Class,BAD,WHITE,31/3/2022,31/3/2022,31/3/2022,Installment,"4,100,000.00"
Region 6,Zone 12,13132,Line,Passenger,SL-Class,BAC,GREY,2/12/2021,23/12/2021,23/12/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16128,Chat,Passenger,SL-Class,BAB,WHITE,11/11/2021,4/1/2022,4/1/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10131,Chat,Car,M-Class,BAC,GREY,13/11/2021,29/11/2021,29/11/2021,Installment,"7,500,000.00"
Region 2,Zone 03,10119,Chat,Passenger,SL-Class,BAC,GREY,25/2/2022,28/2/2022,14/3/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16128,Chat,Passenger,SL-Class,BAD,GREY,21/11/2021,13/12/2021,13/12/2021,Installment,"4,100,000.00"
Region 3,Zone 05,10137,Website,Passenger,SL-Class,BAB,GREY,8/11/2021,17/11/2021,18/11/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14102,Website,Passenger,SL-Class,BAC,GREY,10/11/2021,19/11/2021,19/11/2021,Installment,"4,100,000.00"
Region 3,Zone 05,20104,Website,Car,CL500,HAC,WHITE,20/11/2021,28/2/2022,28/2/2022,Installment,"5,000,000.00"
Region 4,Zone 08,13134,Chat,Passenger,SL-Class,BAA,WHITE,10/11/2021,18/12/2021,18/12/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14117,Chat,Passenger,SL-Class,BAC,WHITE,6/11/2021,24/12/2021,29/12/2021,Cash,"4,100,000.00"
Region 4,Zone 07,11137,Chat,Passenger,SL-Class,BAB,WHITE,9/11/2021,20/12/2021,6/1/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14107,Chat,Passenger,SL-Class,BAC,WHITE,5/11/2021,24/12/2021,24/12/2021,Installment,"4,100,000.00"
Region 1,Zone 01,10111,Website,Passenger,SL-Class,BAA,GREY,9/11/2021,,,Installment,
Region 5,Zone 09,12110,Chat,Passenger,E-Class,HAB,WHITE,15/11/2021,3/1/2022,3/1/2022,Installment,"4,500,000.00"
Region 5,Zone 10,12137,Chat,Passenger,SL-Class,BAC,SILVER,17/12/2021,25/12/2021,28/12/2021,Installment,"4,100,000.00"
Region 5,Zone 10,12137,Chat,Passenger,SL-Class,BAC,SILVER,17/12/2021,25/12/2021,28/12/2021,Cash,"4,100,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAB,GREY,26/11/2021,31/1/2022,19/2/2022,Installment,"4,100,000.00"
Region 5,Zone 10,12127,Chat,Car,CLK Coupe,TAA,BLACK,7/12/2021,16/12/2021,19/12/2021,Installment,"5,500,000.00"
Region 3,Zone 05,10137,Chat,Car,CLK Coupe,TAB,BLUE,10/12/2021,3/3/2022,8/3/2022,Installment,"5,500,000.00"
Region 3,Zone 05,10137,Chat,Car,CLK Coupe,TAB,BLUE,10/12/2021,3/3/2022,8/3/2022,Installment,"5,500,000.00"
Region 1,Zone 01,16144,Chat,Car,CLK Coupe,TAA,GREY,21/12/2021,28/12/2021,28/12/2021,Cash,"5,500,000.00"
Region 6,Zone 11,14102,Chat,Passenger,SL-Class,BAC,BLACK,2/12/2021,25/12/2021,25/12/2021,Cash,"4,100,000.00"
Region 2,Zone 03,10122,Chat,Passenger,SL-Class,BAB,WHITE,9/11/2021,,,Installment,
Region 4,Zone 08,16115,Website,Passenger,SL-Class,BAB,WHITE,11/2/2022,12/5/2022,12/5/2022,Cash,"4,100,000.00"
Region 2,Zone 03,10,Website,Car,CLK Coupe,TAA,WHITE,19/11/2021,29/11/2021,10/12/2021,Installment,"5,500,000.00"
Region 2,Zone 03,10,Chat,Car,CLK Coupe,TAA,WHITE,19/11/2021,29/11/2021,10/12/2021,Cash,"5,500,000.00"
Region 6,Zone 11,14117,Chat,Passenger,SL-Class,BAC,WHITE,6/11/2021,24/12/2021,29/12/2021,Cash,"4,100,000.00"
Region 3,Zone 05,16117,Chat,Car,CL500,HAB,GREY,8/12/2021,21/12/2021,21/12/2021,Installment,"5,000,000.00"
Region 3,Zone 05,10137,Chat,Passenger,SL-Class,BAA,GREY,13/12/2021,17/1/2022,19/1/2022,Cash,"4,100,000.00"
Region 1,Zone 01,16123,Chat,Passenger,SL-Class,BAC,GREY,10/3/2022,1/4/2022,4/4/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11133,Chat,Passenger,SL-Class,BAB,GREY,20/1/2022,31/1/2022,31/1/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14106,Chat,Passenger,SL-Class,BAA,GREY,10/12/2021,2/3/2022,2/3/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10131,Chat,Car,CLK Coupe,TAC,WHITE,5/2/2022,10/2/2022,10/2/2022,Installment,"5,500,000.00"
Region 4,Zone 08,16101,Chat,Passenger,SL-Class,BAD,GREY,19/11/2021,17/12/2021,17/12/2021,Installment,"4,100,000.00"
Region 5,Zone 09,12126,Chat,Passenger,SL-Class,BAD,GREY,19/11/2021,17/12/2021,17/12/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16136,Chat,Car,CL500,HAC,GREY,13/12/2021,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11138,Chat,Passenger,SL-Class,BAB,BLACK,18/3/2022,,,Installment,
Region 6,Zone 11,14118,Website,Passenger,SL-Class,BAA,WHITE,10/11/2021,15/11/2021,15/11/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14119,Website,Car,CLK Coupe,TAB,WHITE,4/1/2022,12/3/2022,18/3/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11130,Website,Passenger,SL-Class,BAC,BLACK,8/11/2021,,,Installment,
Region 4,Zone 07,11105,Chat,Car,CLK Coupe,HAB,BLACK,15/6/2022,12/7/2022,12/7/2022,Cash,"5,500,000.00"
Region 1,Zone 02,10118,Chat,Passenger,E-Class,HAB,WHITE,21/3/2022,24/5/2022,24/5/2022,Cash,"4,500,000.00"
Region 1,Zone 02,10116,Chat,Passenger,SL-Class,BAC,GREY,13/11/2021,13/12/2021,13/12/2021,Cash,"4,100,000.00"
Region 4,Zone 07,11105,Website,Car,CLK Coupe,HAB,BLACK,15/6/2022,12/7/2022,12/7/2022,Installment,"5,500,000.00"
Region 2,Zone 04,10165,Chat,Passenger,SL-Class,BAB,WHITE,9/11/2021,20/11/2021,24/11/2021,Installment,"4,100,000.00"
Region 4,Zone 08,16129,Website,Car,CLK Coupe,TAB,WHITE,4/1/2022,14/1/2022,14/1/2022,Cash,"5,500,000.00"
Region 6,Zone 11,14123,Chat,Passenger,SL-Class,BAC,WHITE,29/12/2021,22/1/2022,22/1/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14116,Chat,Passenger,SL-Class,BAC,WHITE,29/12/2021,22/1/2022,22/1/2022,Cash,"4,100,000.00"
Region 4,Zone 08,16138,Chat,Car,CLK Coupe,TAC,WHITE,20/1/2022,1/2/2022,5/2/2022,Cash,"5,500,000.00"
Region 6,Zone 12,13143,Chat,Passenger,SL-Class,BAC,WHITE,8/5/2022,30/9/2022,30/9/2022,Cash,"4,100,000.00"
Region 4,Zone 08,16101,Chat,Car,CLK Coupe,TAA,WHITE,17/11/2021,7/1/2022,10/1/2022,Installment,"5,500,000.00"
Region 4,Zone 08,16118,Chat,Passenger,SL-Class,BAB,GREY,30/7/2022,,,Installment,
Region 3,Zone 05,10152,Chat,Passenger,S-Class,BAB,GREY,28/11/2021,24/12/2021,24/12/2021,Cash,"8,400,000.00"
Region 5,Zone 10,12131,Chat,Passenger,SL-Class,BAB,WHITE,3/12/2021,23/12/2021,23/12/2021,Cash,"4,100,000.00"
Region 3,Zone 06,10143,Chat,Passenger,C-Class,TAA,WHITE,9/11/2021,1/12/2021,1/12/2021,Installment,"6,000,000.00"
Region 1,Zone 01,10129,Website,Car,CLK Coupe,TAC,WHITE,7/2/2022,14/3/2022,14/3/2022,Cash,"5,500,000.00"
Region 2,Zone 03,10122,Website,Car,CL500,HAB,WHITE,26/12/2021,6/4/2022,8/4/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10121,Chat,Car,CLK Coupe,TAB,WHITE,8/10/2022,31/10/2022,5/11/2022,Installment,"5,500,000.00"
Region 6,Zone 11,14116,Website,Car,CL500,HAC,WHITE,19/11/2021,17/1/2022,18/1/2022,Installment,"5,000,000.00"
Region 2,Zone 03,10121,Website,Car,M-Class,BAC,WHITE,29/11/2021,15/12/2021,15/12/2021,Installment,"7,500,000.00"
Region 4,Zone 07,11127,Website,Car,CL500,HAC,GREY,19/11/2021,13/12/2021,13/12/2021,Cash,"5,000,000.00"
Region 6,Zone 13,13140,Chat,Car,CL500,HAB,WHITE,31/1/2022,,,Installment,
Region 3,Zone 05,10114,Website,Car,CL500,HAB,WHITE,24/11/2021,9/12/2021,17/12/2021,Cash,"5,000,000.00"
Region 1,Zone 01,10127,Chat,Car,CL500,HAC,WHITE,23/11/2021,,,Installment,
Region 3,Zone 06,10112,Website,Passenger,SL-Class,BAA,SILVER,23/11/2021,16/12/2021,18/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11131,Chat,Car,CLK Coupe,HAA,WHITE,18/6/2022,5/7/2022,7/7/2022,Installment,"5,500,000.00"
Region 1,Zone 01,16144,Chat,Passenger,SL-Class,BAA,SILVER,23/11/2021,16/12/2021,18/12/2021,Cash,"4,100,000.00"
Region 1,Zone 02,10151,Chat,Car,CL500,HAC,WHITE,19/11/2021,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 1,Zone 02,16145,Website,Car,CL500,HAB,WHITE,25/1/2022,27/1/2022,31/1/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10128,Chat,Car,CL500,HAC,WHITE,19/11/2021,26/1/2022,28/1/2022,Cash,"5,000,000.00"
Region 6,Zone 12,13135,Chat,Car,CL500,HAB,WHITE,14/12/2021,31/3/2022,9/5/2022,Installment,"5,000,000.00"
Region 1,Zone 02,10131,Chat,Car,CL500,HAC,WHITE,19/11/2021,31/1/2022,31/1/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11124,Chat,Car,CL500,HAC,GREY,20/11/2021,15/12/2021,15/12/2021,Installment,"5,000,000.00"
Region 1,Zone 01,10145,Chat,Passenger,SL-Class,BAB,GREY,7/12/2021,11/2/2022,11/2/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10126,Website,Car,CL500,HAC,WHITE,20/11/2021,16/1/2022,27/1/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10102,Website,Car,CL500,HAC,WHITE,30/5/2022,30/5/2022,30/5/2022,Cash,"5,000,000.00"
Region 2,Zone 03,10,Chat,Car,CL500,HAC,WHITE,19/11/2021,15/12/2021,15/12/2021,Cash,"5,000,000.00"
Region 2,Zone 03,10136,Chat,Car,CL500,HAC,WHITE,6/12/2021,14/2/2022,15/2/2022,Installment,"5,000,000.00"
Region 3,Zone 06,10143,Website,Car,CL500,HAB,WHITE,20/11/2021,23/12/2021,23/12/2021,Cash,"5,000,000.00"
Region 3,Zone 05,10114,Chat,Car,M-Class,BAC,WHITE,29/11/2021,15/12/2021,15/12/2021,Cash,"7,500,000.00"
Region 3,Zone 06,10143,Chat,Car,CL500,HAB,WHITE,20/11/2021,23/12/2021,23/12/2021,Installment,"5,000,000.00"
Region 3,Zone 06,16131,Chat,Car,CL500,HAB,GREY,23/3/2022,25/3/2022,29/3/2022,Cash,"5,000,000.00"
Region 4,Zone 07,11106,Website,Car,CL500,HAB,WHITE,20/11/2021,20/12/2021,20/12/2021,Installment,"5,000,000.00"
Region 3,Zone 06,14121,Chat,Passenger,SL-Class,BAB,WHITE,25/12/2021,15/2/2022,18/2/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14123,Chat,Passenger,E-Class,HAB,WHITE,7/1/2022,17/1/2022,17/1/2022,Installment,"4,500,000.00"
Region 1,Zone 02,10155,Chat,Car,CL500,HAA,WHITE,19/11/2021,27/12/2021,27/12/2021,Cash,"5,000,000.00"
Region 3,Zone 05,10128,Website,Car,CL500,HAC,BLACK,2/12/2021,24/12/2021,27/12/2021,Installment,"5,000,000.00"
Region 2,Zone 03,10136,Website,Car,CL500,HAC,WHITE,6/12/2021,14/2/2022,15/2/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13145,Chat,Car,CL500,HAC,GREY,31/1/2022,15/3/2022,16/3/2022,Cash,"5,000,000.00"
Region 5,Zone 10,12104,Website,Car,CL500,HAC,WHITE,30/11/2021,20/12/2021,20/12/2021,Cash,"5,000,000.00"
Region 3,Zone 06,14103,Chat,Passenger,SL-Class,BAB,WHITE,21/11/2021,24/11/2021,27/11/2021,Cash,"4,100,000.00"
Region 2,Zone 03,20102,Chat,Car,CL500,HAC,WHITE,11/12/2021,30/4/2022,30/4/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13135,Line,Car,CL500,HAC,RED-BLACK,14/1/2022,15/1/2022,18/1/2022,Cash,"5,000,000.00"
Region 3,Zone 06,10112,Website,Car,CL500,HAB,WHITE,7/5/2022,,,Installment,
Region 4,Zone 08,16134,Chat,Car,CL500,HAB,WHITE,4/12/2021,23/12/2021,23/12/2021,Installment,"5,000,000.00"
Region 6,Zone 12,13135,Website,Car,CL500,HAC,RED-BLACK,14/1/2022,15/1/2022,18/1/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16129,Chat,Car,CL500,HAC,GREY,18/4/2022,7/6/2022,7/6/2022,Cash,"5,000,000.00"
Region 1,Zone 02,10153,Chat,Car,CL500,HAA,WHITE,19/11/2021,27/12/2021,27/12/2021,Installment,"5,000,000.00"
Region 2,Zone 04,14129,Chat,Car,CL500,HAA,WHITE,19/11/2021,27/12/2021,27/12/2021,Cash,"5,000,000.00"
Region 1,Zone 02,10118,Chat,Car,CL500,HAC,BLACK,2/12/2021,22/12/2021,24/12/2021,Installment,"5,000,000.00"
Region 1,Zone 01,10133,Chat,Car,CL500,HAC,WHITE,6/1/2022,12/2/2022,12/2/2022,Cash,"5,000,000.00"
Region 3,Zone 06,10112,Chat,Passenger,C-Class,TAA,GREY,25/11/2021,29/11/2021,1/12/2021,Installment,"6,000,000.00"
